price,convenience_fee,departure_time,#seats,company,departure_terminal,arrival_terminal,duration,rating
COP$ 45.000,Cargo COP$ 2250,04:00 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.8
COP$ 45.000,Cargo COP$ 2250,04:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,04:30 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,04:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,05:00 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.9
COP$ 45.000,Cargo COP$ 2250,05:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,05:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,05:30 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,3.5
COP$ 45.000,Cargo COP$ 2250,05:40 AM,17,El Rapido Duitama,Terminal Salitre,Terminal de Duitama,3:20 horas,2.9
COP$ 45.000,Cargo COP$ 2250,05:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.8
COP$ 45.000,Cargo COP$ 2250,05:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,06:00 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.8
COP$ 45.000,Cargo COP$ 2250,06:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,06:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,06:30 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,06:40 AM,17,El Rapido Duitama,Terminal Satelite Norte,Terminal de Duitama,2:20 horas,2.6
COP$ 45.000,Cargo COP$ 2250,06:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,06:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,07:00 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.3
COP$ 45.000,Cargo COP$ 2250,07:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.0
COP$ 45.000,Cargo COP$ 2250,07:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,07:30 AM,38,El Rapido Duitama,Terminal Salitre,Terminal de Duitama,5:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,07:30 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,07:30 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,07:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,07:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,08:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:20 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,08:30 AM,38,El Rapido Duitama,Terminal Satelite Norte,Terminal de Duitama,4:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,08:30 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.1
COP$ 45.000,Cargo COP$ 2250,08:40 AM,36,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,09:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,09:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,09:20 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,09:30 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,09:40 AM,36,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,09:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,09:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,10:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,10:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,10:30 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,10:30 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,10:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,5.0
COP$ 45.000,Cargo COP$ 2250,10:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,11:00 AM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,11:15 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,11:15 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,11:30 AM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,11:45 AM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,11:45 AM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,12:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.7
COP$ 45.000,Cargo COP$ 2250,12:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,12:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,12:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,12:30 PM,40,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.9
COP$ 45.000,Cargo COP$ 2250,12:45 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,12:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,01:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,01:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,01:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,01:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,01:30 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,01:30 PM,40,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,01:40 PM,17,El Rapido Duitama,Terminal Salitre,Terminal de Duitama,3:20 horas,2.9
COP$ 45.000,Cargo COP$ 2250,01:45 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,01:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,02:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,02:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,02:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,02:30 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,02:30 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,02:40 PM,17,El Rapido Duitama,Terminal Satelite Norte,Terminal de Duitama,2:20 horas,2.9
COP$ 45.000,Cargo COP$ 2250,02:45 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,02:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.4
COP$ 45.000,Cargo COP$ 2250,03:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,3.9
COP$ 45.000,Cargo COP$ 2250,03:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,03:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,03:30 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,03:30 PM,60,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,3.8
COP$ 45.000,Cargo COP$ 2250,03:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,03:45 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,04:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.8
COP$ 45.000,Cargo COP$ 2250,04:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,04:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,04:30 PM,60,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,04:30 PM,60,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,3.8
COP$ 45.000,Cargo COP$ 2250,04:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,5.0
COP$ 45.000,Cargo COP$ 2250,04:45 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,05:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,05:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,05:15 PM,17,Autoboy,Terminal Salitre,Terminal de Duitama,2:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,05:30 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,05:30 PM,60,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,3.8
COP$ 45.000,Cargo COP$ 2250,05:45 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,4.3
COP$ 45.000,Cargo COP$ 2250,06:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.0
COP$ 45.000,Cargo COP$ 2250,06:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,06:15 PM,17,Autoboy,Terminal Satelite Norte,Terminal de Duitama,1:45 horas,3.4
COP$ 45.000,Cargo COP$ 2250,06:30 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,06:30 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,07:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.1
COP$ 45.000,Cargo COP$ 2250,07:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,07:30 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,07:30 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,08:00 PM,42,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.3
COP$ 45.000,Cargo COP$ 2250,08:30 PM,36,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.4
COP$ 45.000,Cargo COP$ 2250,08:30 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,5.0
COP$ 45.000,Cargo COP$ 2250,08:30 PM,17,Expreso Paz del Rio,Terminal de Bogota Salitre,Terminal de Duitama,4:05 horas,4.0
COP$ 45.000,Cargo COP$ 2250,09:00 PM,42,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,09:00 PM,36,Coflonorte,Terminal Salitre,Terminal de Duitama,4:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,09:30 PM,36,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.5
COP$ 45.000,Cargo COP$ 2250,09:30 PM,17,Expreso Paz del Rio,Terminal Satelite Norte,Terminal de Duitama,3:05 horas,4.0
COP$ 45.000,Cargo COP$ 2250,10:00 PM,36,Coflonorte,Terminal Satelite Norte,Terminal de Duitama,3:00 horas,4.7
