price,convenience_fee,departure_time,#seats,company,departure_terminal,arrival_terminal,duration,rating
COP$ 120.000,Cargo COP$ 6000,04:00 AM,42,Arauca,Terminal Salitre,Terminal del Norte,9:00 horas,3.8
COP$ 85.000,Cargo COP$ 4250,06:40 AM,20,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,3.9
COP$ 100.000,Cargo COP$ 5000,07:40 AM,33,Rápido Ochoa,Terminal Salitre,Terminal De Medellin,11:00 horas,3.9
COP$ 100.000,Cargo COP$ 5000,08:00 AM,20,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,2.1
COP$ 120.000,Cargo COP$ 6000,08:20 AM,42,Arauca,Terminal Salitre,Terminal del Norte,9:00 horas,3.9
COP$ 102.000,Cargo COP$ 5100,09:00 AM,33,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,3.5
COP$ 100.000,Cargo COP$ 5000,09:40 AM,20,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,2.4
COP$ 100.000,Cargo COP$ 5000,10:20 AM,41,Rápido Ochoa,Terminal Salitre,Terminal De Medellin,11:10 horas,3.7
COP$ 102.000,Cargo COP$ 5100,10:40 AM,36,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,3.2
COP$ 100.000,Cargo COP$ 5000,11:00 AM,20,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,1.5
COP$ 102.000,Cargo COP$ 5100,11:30 AM,36,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,3.1
COP$ 109.000,Cargo COP$ 5450,02:00 PM,42,Expreso Brasilia,Terminal Salitre,Terminal del Norte,11:00 horas,3.5
COP$ 102.000,Cargo COP$ 5100,02:45 PM,52,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,3.5
COP$ 105.000,Cargo COP$ 5250,03:30 PM,38,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,4.4
COP$ 100.000,Cargo COP$ 5000,04:15 PM,18,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,2.3
COP$ 105.000,Cargo COP$ 5250,05:00 PM,38,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,2.8
COP$ 100.000,Cargo COP$ 5000,05:45 PM,20,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,2.0
COP$ 100.000,Cargo COP$ 5000,07:15 PM,20,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,3.2
COP$ 105.000,Cargo COP$ 5250,07:30 PM,35,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,4.2
COP$ 102.000,Cargo COP$ 5100,08:00 PM,22,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,4.7
COP$ 102.000,Cargo COP$ 5100,08:01 PM,30,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,4.5
COP$ 105.000,Cargo COP$ 5250,08:30 PM,37,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,4.4
COP$ 120.000,Cargo COP$ 6000,09:01 PM,27,Rápido Ochoa,Terminal Salitre,Terminal De Medellin,10:00 horas,4.0
COP$ 100.000,Cargo COP$ 5000,09:15 PM,15,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,3.8
COP$ 109.000,Cargo COP$ 5450,09:30 PM,36,Expreso Brasilia,Terminal Salitre,Terminal del Norte,10:00 horas,4.2
COP$ 105.000,Cargo COP$ 5250,09:45 PM,38,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,3.7
COP$ 105.000,Cargo COP$ 5250,09:46 PM,38,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,4.0
COP$ 102.000,Cargo COP$ 5100,10:00 PM,43,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,4.3
COP$ 102.000,Cargo COP$ 5100,10:01 PM,32,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,4.1
COP$ 120.000,Cargo COP$ 6000,10:15 PM,40,Arauca,Terminal Salitre,Terminal del Norte,9:00 horas,3.9
COP$ 102.000,Cargo COP$ 5100,10:45 PM,33,Expreso Bolivariano,Terminal Salitre,Terminal De Medellin,10:30 horas,4.2
COP$ 120.000,Cargo COP$ 6000,11:00 PM,40,Arauca,Terminal Salitre,Terminal del Norte,9:00 horas,4.0
COP$ 100.000,Cargo COP$ 5000,11:15 PM,19,Rapido Tolima,Terminal Salitre,Terminal del Norte,10:30 horas,3.3
COP$ 105.000,Cargo COP$ 5250,11:30 PM,37,Flota Magdalena,Terminal Salitre,Terminal del Norte,9:50 horas,4.2
