#,title,url,points,comments
1,Disabling telemetry in ByteDance's VSCode fork increases data sent to its server,https://github.com/segmentationf4u1t/trae_telemetry_research,314,79
2,Show HN: Windows 7 GUI for the Web,https://khang-nd.github.io/7.css/,110,27
3,Dumb Pipe,https://www.dumbpipe.dev/,392,79
4,Ask HN: What are you working on? (July 2025),item?id=44702833,42,102
5,Return of wolves to Yellowstone has led to a surge in aspen trees,https://www.livescience.com/animals/land-mammals/return-of-wolves-to-yellowstone-has-led-to-a-surge-in-aspen-trees-unseen-for-80-years,290,156
6,"Tom Lehrer, Musical Satirist with a Dark Streak, Dies at 97",https://www.nytimes.com/2025/07/27/arts/music/tom-lehrer-dead.html,208,47
7,Linux on Snapdragon X Elite: Linaro and Tuxedo Pave the Way for ARM64 Laptops,https://www.linaro.org/blog/linux-on-snapdragon-x-elite/,245,164
8,The many JavaScript runtimes of the last decade,https://buttondown.com/whatever_jamie/archive/the-many-many-many-javascript-runtimes-of-the-last-decade/,85,29
9,Allianz Life says 'majority' of customers' personal data stolen in cyberattack,https://techcrunch.com/2025/07/26/allianz-life-says-majority-of-customers-personal-data-stolen-in-cyberattack/,86,46
10,Katharine Graham: The Washington Post,https://fs.blog/knowledge-project-podcast/outliers-katharine-graham/,43,15
11,4k NASA employees opt to leave agency through deferred resignation program,https://www.kcrw.com/news/shows/npr/npr-story/nx-s1-5481304,300,375
12,Chemical process produces critical battery metals with no waste,https://spectrum.ieee.org/nmc-battery-aspiring-materials,202,22
13,Itch.io is the latest marketplace to crack down on adult games,https://techcrunch.com/2025/07/27/itch-io-is-the-latest-marketplace-to-crack-down-on-adult-games/,16,6
14,Hierarchical Reasoning Model,https://arxiv.org/abs/2506.21734,249,80
15,"The future is not self-hosted, but self-sovereign",https://www.robertmao.com/blog/en/the-future-is-not-self-hosted-but-self-sovereign,160,146
16,"High-performance RISC-V processors: UltraRISC UR-DP1000, Zhihe A210, SpacemIT K3",https://www.cnx-software.com/2025/07/22/three-high-performance-risc-v-processors-to-watch-in-h2-2025-ultrarisc-ur-dp1000-zizhe-a210-and-spacemit-k3/,80,13
17,"Tom Lehrer, song satirist and mathematician, dies at 97",https://apnews.com/article/tom-lehrer-son-satirist-mathematician-dies-9caa7ee01faf4fbfb793d7ba984c179d,11,0
18,Fast and cheap bulk storage: using LVM to cache HDDs on SSDs,https://quantum5.ca/2025/05/11/fast-cheap-bulk-storage-using-lvm-to-cache-hdds-on-ssds/,186,56
19,Smallest particulate matter air quality sensor for ultra-compact IoT devices,https://www.bosch-sensortec.com/news/worlds-smallest-particulate-matter-sensor-bmv080.html,144,48
20,"When photography was born, fascination, obsession, and danger followed",https://www.washingtonpost.com/books/2025/07/12/flashes-brilliance-history-early-photography-anika-burgess-review/,45,28
21,Instrumenting Next.js with runtime secret injection,https://phase.dev/blog/instrumenting-nextjs-with-runtime-secret-injection/,9,8
22,"Janet: Lightweight, Expressive, Modern Lisp",https://janet-lang.org,154,79
23,Beetroot juice lowers blood pressure by changing oral microbiome: study,https://news.exeter.ac.uk/faculty-of-health-and-life-sciences/beetroot-juice-lowers-blood-pressure-in-older-people-by-changing-oral-microbiome/,174,108
24,When we get Komooted,https://bikepacking.com/plog/when-we-get-komooted/,394,213
25,"Coronary artery calcium testing can reveal plaque in arteries, but is underused",https://www.nytimes.com/2025/07/26/health/coronary-artery-calcium-heart.html,174,161
26,Constrained languages are easier to optimize,https://jyn.dev/constrained-languages-are-easier-to-optimize/,54,46
27,"BlueOS Kernel – Written in Rust, compatible with POSIX",https://github.com/vivoblueos/kernel,75,9
28,Into the co-ferment kingdom: A trip to Finca Monteblanco,https://www.robertasami.com/coffee/into-the-coferment-kingdom,5,0
29,Purple Earth hypothesis,https://en.wikipedia.org/wiki/Purple_Earth_hypothesis,277,76
30,16colo.rs: ANSI/ASCII art archive,https://16colo.rs/,99,23
